Question (AR),Question (EN),Answer (AR),Answer (EN),Category (AR),Subcategory (AR),Category (EN),Subcategory (EN)
كم بطاقة صفراء تؤدي للطرد؟,How many yellow cards usually result in a red card?,2,2,⚽ رياضة,كرة قدم,⚽ Sports,Football
كم شوطاً في المباراة؟,How many halves are there in a match?,2,2,⚽ رياضة,كرة قدم,⚽ Sports,Football
كم كأس عالم فاز بها بيليه؟,How many World Cups did Pelé win?,3,3,⚽ رياضة,كرة قدم,⚽ Sports,Football
كم عدد التبديلات المسموح بها غالباً؟,How many substitutes are generally allowed in modern competitions?,5,5,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما الرقم الشهير المرتبط برونالدو؟,Which famous number is associated with Cristiano Ronaldo?,7,7,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما الرقم الشهير المرتبط بمارادونا؟,Which famous number is associated with Diego Maradona?,10,10,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما الرقم الشهير لميسي مع الأرجنتين؟,Which famous number is associated with Messi for Argentina?,10,10,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما الرقم الشهير لبيليه؟,What number did Pelé famously wear?,10,10,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما الرقم الذي اعتزله نابولي تكريماً لمارادونا؟,Which number did Napoli retire for Maradona?,10,10,⚽ رياضة,كرة قدم,⚽ Sports,Football
كم عدد لاعبي الفريق داخل الملعب؟,How many players are on the field for one team?,11,11,⚽ رياضة,كرة قدم,⚽ Sports,Football
كم لاعباً يوجد داخل الملعب أثناء المباراة؟,What is the maximum number of players on the field in a match?,22,22,⚽ رياضة,كرة قدم,⚽ Sports,Football
كم تبعد نقطة الجزاء عن المرمى؟,How far is the penalty spot from the goal line?,12 ياردة,12 yards,⚽ رياضة,كرة قدم,⚽ Sports,Football
في أي كأس عالم استُخدم VAR لأول مرة؟,Which competition introduced VAR at a World Cup?,كأس العالم 2018,2018 World Cup,⚽ رياضة,كرة قدم,⚽ Sports,Football
كم مدة الوقت الإضافي؟,How many minutes is extra time in knockout matches?,30 دقيقة,30 minutes,⚽ رياضة,كرة قدم,⚽ Sports,Football
كم مدة مباراة كرة القدم؟,How long is a football match?,90 دقيقة,90 minutes,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي نادٍ إيطالي لعب جورج وياه؟,Which club did George Weah play for in Italy?,ميلان,AC Milan,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُلقب بالروسونيري؟,Which club is known as The Rossoneri?,ميلان,AC Milan,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي نادٍ اشتهر يوهان كرويف؟,Which club did Johan Cruyff play for most famously?,أياكس,Ajax,⚽ رياضة,كرة قدم,⚽ Sports,Football
من كان مدرب مانشستر يونايتد عام 1999؟,Which manager led Manchester United in 1999?,أليكس فيرغسون,Alex Ferguson,⚽ رياضة,كرة قدم,⚽ Sports,Football
من يُعرف بسير أليكس؟,Who is known as Sir Alex?,أليكس فيرغسون,Alex Ferguson,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس أمم أفريقيا 2019؟,Which country won AFCON 2019?,الجزائر,Algeria,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما اسم ملعب بايرن ميونخ؟,What is the home stadium of Bayern Munich?,أليانز أرينا,Allianz Arena,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما اسم ملعب يوفنتوس؟,What is the home stadium of Juventus?,أليانز ستاديوم,Allianz Stadium,⚽ رياضة,كرة قدم,⚽ Sports,Football
من كان يُعرف بالساحر الصغير؟,Which midfielder was known as The Little Magician?,أندريس إنييستا,Andrés Iniesta,⚽ رياضة,كرة قدم,⚽ Sports,Football
من سجل هدف الفوز في نهائي 2010؟,Which player scored the winning goal in the 2010 World Cup final?,أندريس إنييستا,Andrés Iniesta,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي لاعب وسط سجل في نهائي 2010؟,Which midfielder scored in the 2010 World Cup final?,أندريس إنييستا,Andrés Iniesta,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم 1986؟,Which country won the 1986 FIFA World Cup?,الأرجنتين,Argentina,⚽ رياضة,كرة قدم,⚽ Sports,Football
