السؤال,Question,الإجابة
بالمليون كم مساحة  دولة الفاتيكان بالكيلومتر المربع؟,What is the area of Vatican City in square kilometers?,0.44
كم عدد مشتركي تيك توك عالمياً؟ (مليار),How many TikTok users are there worldwide? (billions),1.5
بالمليون كم مساحة  الجزيرة العربية بالكيلومتر المربع؟,What is the area of the Arabian Peninsula in million square kilometers?,3.2
كم عدد طوابق الكولوسيوم الروماني؟,How many levels does the Roman Colosseum have?,4
بالمليون بالمليون كم مساحة  الأمازون بالكيلومتر المربع؟ ,What is the area of the Amazon rainforest in million square kilometers?,5.5
بالمليون كم مساحة  أستراليا بالكيلومتر المربع؟,What is the area of Australia in million square kilometers?,7.7
كم يستغرق الضوء من الشمس إلى الأرض بالدقائق؟,How many minutes does light take to travel from the Sun to Earth?,8
بالمليون كم مساحة  الصحراء الكبرى بالكيلومتر المربع؟,What is the area of the Sahara Desert in million square kilometers?,9.2
كم عدد الأوسكار التي فاز بها فيلم تيتانيك؟,How many Oscars did Titanic win?,11
كم عدد الدول التي تشترك في نهر النيل؟,How many countries does the Nile River pass through or connect?,11
كم عدد اللغات الرسمية في جنوب أفريقيا؟,How many official languages does South Africa have?,11
كم عدد دول منظمة أوبك؟,How many member countries are in OPEC?,12
كم عدد ألبومات The Beatles؟,How many studio albums did The Beatles release?,13
كم عمر الكون المقدر بالمليار سنة؟,What is the estimated age of the universe in billions of years?,14
كم عدد الدول التي تشترك في حدود مع الصين؟,How many countries share a border with China?,14
بالمليون كم مساحة  الأنتارتيكا بالكيلومتر المربع؟,What is the area of Antarctica in million square kilometers?,14
كم عدد ملاعب كأس العالم 2026؟,How many stadiums will host the 2026 FIFA World Cup?,16
بالمليون كم مساحة  روسيا بالكيلومتر المربع؟,What is the area of Russia in million square kilometers?,17
بالمليون كم عدد سكان مدينة مومباي تقريباً؟,What is the approximate population of Mumbai (millions)?,20
كم عدد الدول التي تعتمد اليورو عملةً لها؟,How many countries use the euro as their currency?,20
بالمليون كم عدد سكان مدينة القاهرة تقريباً؟,What is the approximate population of Cairo (millions)?,21
كم نسبة الأكسجين في الغلاف الجوي؟ (%),What percentage of Earth's atmosphere is oxygen?,21
كم عدد الدول في أمريكا الشمالية؟,How many countries are in North America?,23
كم عدد الأضلاع في جسم الإنسان؟,How many ribs does the human body have?,24
كم عدد بطولات الغراند سلام التي فاز بها ديوكوفيتش؟,How many Grand Slam titles has Novak Djokovic won?,24
كم طول جسر الملك فهد الرابط بين السعودية والبحرين بالكيلومترات؟,What is the length of the King Fahd Causeway between Saudi Arabia and Bahrain (km)?,25
بالمليون كم عدد سكان مدينة شنغهاي تقريباً؟,What is the approximate population of Shanghai (millions)?,27
كم سرعة الأرض حول الشمس بالكيلومتر في الثانية؟,What is Earth's orbital speed around the Sun (km/s)?,30
كم عدد أسنان الإنسان البالغ؟,How many teeth does an adult human have?,32
كم عدد الدول في أمريكا اللاتينية؟,How many countries are in Latin America?,33
كم عدد فقرات العمود الفقري البشري؟,How many vertebrae are in the human spine?,33
بالمليون كم عدد سكان المملكة العربية السعودية تقريباً؟,What is the approximate population of Saudi Arabia (millions)?,36
بالمليون كم عدد سكان المغرب تقريباً؟,What is the approximate population of Morocco (millions)?,37
كم عدد أعمال وليام شكسبير المسرحية؟,How many plays did William Shakespeare write?,37
كم عدد الميداليات الذهبية لأمريكا في أولمبياد 2024؟,How many gold medals did the United States win at the 2024 Olympics?,40
بالمليون كم عدد سكان العراق تقريباً؟,What is the approximate population of Iraq (millions)?,42
كم عدد أسنان الثعلب؟,How many teeth does a fox have?,42
