Video Name,Question (AR),Answer (AR),Question (EN),Answer (EN)
Video 001,كم مرة نقالت كلمة العب؟,17 مرة,"How many times was the word ""ELAAB"" said?",17 times
Video 002,كم سمكة كان في عالطاولة,7 سمكات,How many fish were on the table?,7 fish
Video 003,قدي خلصت المباراة؟,77-74,What was the final score of the match?,77–74
Video 004,شو الأسامي الغلط لي ذكرها قبل الاسم الصح,"رباب, فوزية, فردوس, نرمين",What were the incorrect names mentioned before the correct one?,"Rabab, Fawzia, Ferdous, Narmin"
Video 005,كم عامود شباك مبين عند مرت عمو نجاح؟,5 عواميد,How many fence bars were visible at Uncle Najah's wife's place?,5 bars
Video 006,بأدي اشترى الزلمي لي كان عم بحاسب؟,6.5$,How much did the man who was paying spend?,$6.50
Video 007,كم مرة نقال Alllaaah,مرتين,"How many times was ""Alllaaah"" said?",Twice
Video 008,"في واحد مع حبيبتو, ادامن قنينة   BUZZ قزاز, شو لونها؟ ",صفراء,"There was a man with his girlfriend, and in front of them was a glass bottle of BUZZ. What color was it?",Yellow
Video 009,كم لوحة في على باب البيت؟,لوحتين,How many paintings were on the house door?,2 signs
Video 010,"بايدها في اسوارتين, شو لونن؟",أحمر و أزرق,She was wearing two bracelets. What colors were they?,Red and Blue
Video 011,شو ماسكة بايدها؟,فرشاة شعر,What was she holding in her hand?,A hairbrush
Video 012,كم فليفلة حمراء و كم فليفلة صفراء بالسلة؟,3 أحمر و 1 أصفر,How many red peppers and how many yellow peppers were in the basket?,3 red and 1 yellow
Video 013,شو الساعات الموجودة عالحيط؟,London | Paris | Tokyo | Cairo,What clocks were on the wall?,London | Paris | Tokyo | Cairo
Video 014,شو لون الثلاث مخدات ورا كريم (الصبي)؟,أخضر و رمادي و فوشيا,What were the colors of the three cushions behind Karim (The Boy)?,"Green, Gray, and Fuchsia"
Video 016,"بس يطلع الشيف في بوستر, شو بيقول؟",Jazz Festival,"When the chef appeared there was a poster on the wall, what did it say?",Jazz Festival
Video 017,بأي section نكمش الأبونا؟,شيبس,In which section was the priest caught?,Chips
Video 018,شو اسم المحل؟,Sky Rim,What was the name of the shop?,Sky Rim
Video 019,"في رقم مكتوب عالحيط, شو نصو؟",20,There was a number written on the wall. What was it?,20
Video 020,شو لون الملف بايد الموظف قبل استلام الهوية؟,أزرق,What color was the folder in the employee's hand before receiving the ID card?,Blue
Video 021,كم لوحة في فوق التلفزيون؟,واحدة,How many paintings were above the television?,1
Video 022,كم طنجرة في بالمطبخ و شو لونن؟,أتنين - أحمر,How many pots were in the kitchen and what color were they?,2 pots – Red
