col 0 (AR),col 1 (EN),Category (EN),Category (AR)
قدّيش فيكن تسمّوا من فلاسفة مشهورين؟,How many famous philosophers can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من مخترعين غيّروا العالم؟,How many inventors who changed the world can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من عصور تاريخية؟,How many historical eras can you name?,تاريخ,History
قدّيش فيكن تسمّوا من رؤساء أمريكيين؟,How many U.S. presidents can you name?,تاريخ,History
قدّيش فيكن تسمّوا من ملوك وملكات تاريخيين؟,How many historical kings and queens can you name?,تاريخ,History
قدّيش فيكن تسمّوا من بنوك بالإمارات؟,How many banks in the UAE can you name?,الإمارات العربية المتحدة,UAE
قدّيش فيكن تسمّوا من دول بدون بحر؟,How many landlocked countries can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من عواصم أفريقيا؟,How many African capitals can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من مدن في المغرب؟,How many cities in Morocco can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من جبال بالعالم؟,How many mountains around the world can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من أنهار مشهورة بالعالم؟,How many famous rivers around the world can you name?,جغرافيا,Geography
قدّيش فيكن تسمّوا من فنون قتال؟,How many martial arts can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من ملاعب كرة قدم مشهورة؟,How many famous football stadiums can you name?,رياضة,Sport
قدّيش فيكن تسمّوا من لاعبي تنس مشهورين؟,How many famous tennis players can you name?,رياضة,Sport
قدّيش فيكن تسمّوا من بطولات كرة قدم عالمية؟,How many international football tournaments can you name?,رياضة,Sport
قدّيش فيكن تسمّوا من سندويشات؟,How many sandwiches can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من مطاعم وجبات سريعة عالمية؟,How many global fast-food chains can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أنواع الجبنة؟,How many types of cheese can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أنواع قهوة؟,How many types of coffee can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أنواع سمك مشهورة؟,How many famous fish species can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أنواع خبز من ثقافات مختلفة؟,How many types of bread from different cultures can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أنواع حلويات شرقية؟,How many Middle Eastern desserts can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أنواع مكسرات؟,How many nuts can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أنواع مشروبات غازية؟,How many soft drinks can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أنواع صلصات؟,How many sauces can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من حيوانات الغابة؟,How many forest animals can you name?,علوم,Science
قدّيش فيكن تسمّوا حشرات؟,How many insects can you name?,علوم,Science
قدّيش فيكن تسمّوا من أنواع طيور؟,How many bird species can you name?,علوم,Science
قدّيش فيكن تسمّوا من أنواع طاقة متجددة؟,How many types of renewable energy can you name?,علوم,Science
قدّيش فيكن تسمّوا من ممثلين اسمهم محمد؟,How many actors named Mohammed can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من مغنيين عرب؟,How many Arab singers can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من أغاني فيروز؟,How many songs by Fairuz can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من روايات نجيب محفوظ؟,How many novels by Naguib Mahfouz can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من مخرجين سينمائيين مشهورين؟,How many famous film directors can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من شعراء عرب قدامى؟,How many classical Arab poets can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من شخصيات ديزني؟,How many Disney characters can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من أنواع موسيقى؟,How many music genres can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من سلاسل أفلام مشهورة؟,How many famous movie franchises can you name?,إعلام وفنون,Media
قدّيش فيكن تسمّوا من روائيين عالميين مشهورين؟,How many famous international novelists can you name?,معلومات عامة,General Knowledge
قدّيش فيكن تسمّوا من أحزاب سياسية لبنانية؟,How many Lebanese political parties can you name?,لبنان,Lebanon
قدّيش فيكن تسمّوا من شركات تقنية معروفة؟,How many well-known tech companies can you name?,معلومات عامة,General Knowledge
